Name,Símbolo,Mercado,Último (Preço),%,Data/Hora,Link
2020 BULKERS,2020,XOSL,"NOK 143,50","1,20%",16:26 CET,https://live.euronext.com/pt/product/equities/BMG9156K1018-XOSL
2CRSI,AL2SI,ALXP,"EUR 12,18","-0,81%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0013341781-ALXP
3D SYSTEMS CORP,4DDD,ETLX,"EUR 2,366","10,10%",16:59 CET,https://live.euronext.com/pt/product/equities/US88554D2053-ETLX
3D SYSTEMS CORP,1DDD,BGEM,"EUR 2,306","7,21%",17:35 CET,https://live.euronext.com/pt/product/equities/US88554D2053-BGEM
3D SYSTEMS CORP,2DDD,MTAH,"EUR 1,56","1,10%",09 Dec 2025,https://live.euronext.com/pt/product/equities/US88554D2053-MTAH
3M,4MMM,ETLX,"EUR 141,94","0,13%",07 Nov 2025,https://live.euronext.com/pt/product/equities/US88579Y1010-ETLX
3M,1MMM,BGEM,"EUR 147,06","-1,29%",17:07 CET,https://live.euronext.com/pt/product/equities/US88579Y1010-BGEM
3M,2MMM,MTAH,"EUR 142,64","0,71%",09 Jan 2026,https://live.euronext.com/pt/product/equities/US88579Y1010-MTAH
4AIM SICAF,AIM,EXGM,"EUR 73,00","-2,01%",13 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005204729-EXGM
4AIM SICAF COMP 2,AIM2,EXGM,"EUR 131,50","0,38%",14 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005440323-EXGM
5TH PLANET GAMES,5PG,XOAS,"NOK 0,776","1,31%",15:43 CET,https://live.euronext.com/pt/product/equities/DK0060945467-XOAS
74SOFTWARE,74SW,XPAR,"EUR 38,40","-1,03%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0011040500-XPAR
A.B.P. NOCIVELLI,ABP,EXGM,"EUR 7,10","0,71%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005439861-EXGM
A2A,A2A,MTAA,"EUR 2,476","0,53%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0001233417-MTAA
A2A,2A2A,MTAH,"EUR 2,481","0,20%",18:51 CET,https://live.euronext.com/pt/product/equities/IT0001233417-MTAH
AAK AB,1AAK,BGEM,-,-,-,https://live.euronext.com/pt/product/equities/SE0011337708-BGEM
AALBERTS NV,AALB,XAMS,"EUR 30,00","-0,60%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0000852564-XAMS
AALBERTS NV,2AALB,MTAH,"EUR 34,00",-,25 Mar 2025,https://live.euronext.com/pt/product/equities/NL0000852564-MTAH
AASEN SPAREBANK,AASB,MERK,"NOK 139,96","-1,07%",10:32 CET,https://live.euronext.com/pt/product/equities/NO0010672181-MERK
AATECH,AAT,EXGM,"EUR 0,945","-2,07%",16:10 CET,https://live.euronext.com/pt/product/equities/IT0005548521-EXGM
AB INBEV,ABI,XBRU,"EUR 59,08","-0,30%",17:37 CET,https://live.euronext.com/pt/product/equities/BE0974293251-XBRU
AB SCIENCE,AB,XPAR,"EUR 1,412","0,14%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0010557264-XPAR
AB SCIENCE BSA,ABBS,XPAR,-,-,-,https://live.euronext.com/pt/product/equities/FR001400ZRT0-XPAR
AB SCIENCE BSA 25,ABSBS,ALXP,-,-,-,https://live.euronext.com/pt/product/equities/FR00140118Z8-ALXP
AB SCIENCE BSAAU25,ABBSA,ALXP,-,-,-,https://live.euronext.com/pt/product/equities/FR0014011S49-ALXP
ABATTOIR,,VPXB,"EUR 45,00","-10,00%",22 Oct 2024,https://live.euronext.com/pt/product/equities/BE0946377455-VPXB
ABB Ltd,1ABB,BGEM,"EUR 66,90","1,06%",10:41 CET,https://live.euronext.com/pt/product/equities/CH0012221716-BGEM
Abbott LaB,1ABT,BGEM,"EUR 106,44","-0,06%",15:04 CET,https://live.euronext.com/pt/product/equities/US0028241000-BGEM
ABBVIE,1ABBV,BGEM,"EUR 184,80",-,14:28 CET,https://live.euronext.com/pt/product/equities/US00287Y1091-BGEM
ABBVIE,4ABBV,ETLX,"EUR 186,40","-0,85%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US00287Y1091-ETLX
ABBVIE,2ABBV,MTAH,"EUR 190,00","-0,42%",11 Dec 2025,https://live.euronext.com/pt/product/equities/US00287Y1091-MTAH
ABC ARBITRAGE,ABCA,XPAR,"EUR 5,35","-0,56%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0004040608-XPAR
ABC COMPANY,ABC,EXGM,"EUR 3,76",-,02 Jan 2026,https://live.euronext.com/pt/product/equities/IT0005466294-EXGM
ABEO,ABEO,XPAR,"EUR 8,88","1,60%",17:16 CET,https://live.euronext.com/pt/product/equities/FR0013185857-XPAR
ABERCROMBIE & FITC,1ANF,BGEM,"EUR 91,57","1,04%",17:05 CET,https://live.euronext.com/pt/product/equities/US0028962076-BGEM
ABG SUNDAL COLLIER,ABG,XOSL,"NOK 8,03","-0,25%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0003021909-XOSL
ABIONYX PHARMA,ABNX,XPAR,"EUR 3,72","3,33%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0012616852-XPAR
ABITARE IN,ABT,MTAA,"EUR 2,92","0,17%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005445280-MTAA
ABIVAX,ABVX,XPAR,"EUR 102,20","-1,35%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0012333284-XPAR
ABL Diagnostics,ABLD,XPAR,"EUR 3,64","11,66%",17:08 CET,https://live.euronext.com/pt/product/equities/FR001400AHX6-XPAR
ABL GROUP,ABL,XOSL,"NOK 8,54","-0,47%",16:25 CET,https://live.euronext.com/pt/product/equities/NO0010715394-XOSL
ABN AMRO BANK N.V.,ABN,XAMS,"EUR 31,08","-0,06%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0011540547-XAMS
ABO GROUP,ABO,"XBRU, XPAR","EUR 5,45",-,11:25 CET,https://live.euronext.com/pt/product/equities/BE0974278104-XBRU
ACADIA HEALTHCARE,1ACHC,BGEM,"EUR 10,20",-,16:37 CET,https://live.euronext.com/pt/product/equities/US00404A1097-BGEM
ACANTHE DEV.,ACAN,XPAR,"EUR 0,228","5,56%",10:33 CET,https://live.euronext.com/pt/product/equities/FR0000064602-XPAR
ACCENTIS,ACCB,XBRU,"EUR 0,0265","-1,85%",16:06 CET,https://live.euronext.com/pt/product/equities/BE0003696102-XBRU
Accenture PLC,1ACN,BGEM,"EUR 242,30","-2,83%",16:46 CET,https://live.euronext.com/pt/product/equities/IE00B4BNMY34-BGEM
Acciona,1ANA,BGEM,"EUR 185,50","-6,92%",14 Jan 2026,https://live.euronext.com/pt/product/equities/ES0125220311-BGEM
ACCIONA Energias,1ANE,BGEM,"EUR 23,06","3,32%",14 Jan 2026,https://live.euronext.com/pt/product/equities/ES0105563003-BGEM
ACCOR,AC,XPAR,"EUR 46,30","0,43%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000120404-XPAR
ACCOR,2AC,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0000120404-MTAH
ACCOR,4AC,ETLX,"EUR 47,69","-1,12%",23 Dec 2025,https://live.euronext.com/pt/product/equities/FR0000120404-ETLX
ACCSYS,AXS,XAMS,"EUR 0,715","-0,28%",17:35 CET,https://live.euronext.com/pt/product/equities/GB00BQQFX454-XAMS
ACE DIGITAL,ACED,MERK,"NOK 0,449","-6,85%",14:28 CET,https://live.euronext.com/pt/product/equities/NO0013531616-MERK
ACEA,ACE,MTAA,"EUR 23,10","0,43%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0001207098-MTAA
Acerinox,1ACX,BGEM,"EUR 13,10","-1,73%",12 Jan 2026,https://live.euronext.com/pt/product/equities/ES0132105018-BGEM
ACHETER-LOUER.FR,ALALO,ALXP,"EUR 0,0366","-14,08%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0014011O84-ALXP
ACINQUE,AC5,MTAA,"EUR 2,34","0,86%",13:00 CET,https://live.euronext.com/pt/product/equities/IT0001382024-MTAA
ACKERMANS V.HAAREN,2ACKB,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/BE0003764785-MTAH
ACKERMANS V.HAAREN,ACKB,XBRU,"EUR 239,60","-0,83%",17:35 CET,https://live.euronext.com/pt/product/equities/BE0003764785-XBRU
ACM RESEARCH INC-C,1ACMR,BGEM,"EUR 45,98","-1,73%",17:27 CET,https://live.euronext.com/pt/product/equities/US00108J1097-BGEM
ACOMO,ACOMO,XAMS,"EUR 25,25","0,80%",17:35 CET,https://live.euronext.com/pt/product/equities/NL0000313286-XAMS
ACQUAZZURRA,ACQ,EXGM,"EUR 10,50","5,00%",05 May 2025,https://live.euronext.com/pt/product/equities/IT0005443061-EXGM
ACS ACTIVIDADES,1ACS,BGEM,"EUR 93,30","0,27%",13 Jan 2026,https://live.euronext.com/pt/product/equities/ES0167050915-BGEM
ACS ACTIVIDADES,2ACS,MTAH,"EUR 94,95","2,93%",07 Jan 2026,https://live.euronext.com/pt/product/equities/ES0167050915-MTAH
ACS ACTIVIDADES,4ACS,ETLX,"EUR 70,30","0,07%",22 Oct 2025,https://live.euronext.com/pt/product/equities/ES0167050915-ETLX
ACTEOS,EOS,XPAR,"EUR 0,95","0,21%",15:07 CET,https://live.euronext.com/pt/product/equities/FR0000076861-XPAR
ACTIA GROUP,ALATI,ALXP,"EUR 3,15",-,17:27 CET,https://live.euronext.com/pt/product/equities/FR0000076655-ALXP
ACTIVIUM GROUP,MLACT,XMLI,"EUR 1,60",-,16:30 CET,https://live.euronext.com/pt/product/equities/FR0010979377-XMLI
ACVLHO,,VPXB,"EUR 4 500,01",-,07 Jul 2015,https://live.euronext.com/pt/product/equities/BE0010012210-VPXB
ADC SIIC,ALDV,XPAR,"EUR 0,063",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/BE0974269012-XPAR
AddTech,1ADDT,BGEM,"EUR 31,38","0,32%",12 Jan 2026,https://live.euronext.com/pt/product/equities/SE0014781795-BGEM
ADEC INNOVATIONS,MLADE,MLXB,"EUR 10,00",-,24 Jul 2025,https://live.euronext.com/pt/product/equities/NL0015002K91-MLXB
ADECCO,1ADEN,BGEM,"EUR 25,00","-0,79%",11:51 CET,https://live.euronext.com/pt/product/equities/CH0012138605-BGEM
ADEUNIS,ALARF,ALXP,"EUR 0,59",-,17:28 CET,https://live.euronext.com/pt/product/equities/FR0013284627-ALXP
ADIDAS,2ADS,MTAH,"EUR 161,60","-0,95%",13 Jan 2026,https://live.euronext.com/pt/product/equities/DE000A1EWWW0-MTAH
ADIDAS,1ADS,BGEM,"EUR 159,45","-1,94%",17:12 CET,https://live.euronext.com/pt/product/equities/DE000A1EWWW0-BGEM
ADIDAS,4ADS,ETLX,"EUR 162,90","1,27%",15 Jan 2026,https://live.euronext.com/pt/product/equities/DE000A1EWWW0-ETLX
ADLER GROUP,4ADJ,ETLX,"EUR 0,205","4,06%",14 Jan 2026,https://live.euronext.com/pt/product/equities/LU1250154413-ETLX
ADLER GROUP,1ADJ,BGEM,"EUR 0,217","7,43%",15 Jan 2026,https://live.euronext.com/pt/product/equities/LU1250154413-BGEM
ADLER GROUP,2ADJ,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/LU1250154413-MTAH
ADOBE,2ADBE,MTAH,"EUR 262,25",-,15 Jan 2026,https://live.euronext.com/pt/product/equities/US00724F1012-MTAH
ADOBE,1ADBE,BGEM,"EUR 256,45","-2,21%",17:39 CET,https://live.euronext.com/pt/product/equities/US00724F1012-BGEM
ADOBE,4ADBE,ETLX,"EUR 262,00","-0,08%",15:35 CET,https://live.euronext.com/pt/product/equities/US00724F1012-ETLX
ADOCIA,ADOC,XPAR,"EUR 6,05","-0,98%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0011184241-XPAR
ADOCIA BSA,ADOBS,ALXP,"EUR 7,10","-1,39%",27 Oct 2025,https://live.euronext.com/pt/product/equities/FR001400XVZ4-ALXP
ADOMOS,ALADO,ALXP,"EUR 0,0005","-16,67%",17:29 CET,https://live.euronext.com/pt/product/equities/FR001400UT31-ALXP
ADP,2ADPP,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0010340141-MTAH
ADP,ADP,XPAR,"EUR 109,30","-0,18%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0010340141-XPAR
ADS MARITIME HOLD,ADS,MERK,"NOK 2,40","7,14%",13:18 CET,https://live.euronext.com/pt/product/equities/CY0108052115-MERK
ADUX,ALDUX,ALXP,"EUR 2,07","-1,43%",13:30 CET,https://live.euronext.com/pt/product/equities/FR0012821890-ALXP
ADVANCED MICRO DEV,1AMD,BGEM,"EUR 200,55","-1,47%",17:35 CET,https://live.euronext.com/pt/product/equities/US0079031078-BGEM
ADVANCED MICRO DEV,2AMDV,MTAH,"EUR 200,55",-,18:22 CET,https://live.euronext.com/pt/product/equities/US0079031078-MTAH
ADVANCED MICRO DEV,4AMD,ETLX,"EUR 199,20","-2,19%",10:45 CET,https://live.euronext.com/pt/product/equities/US0079031078-ETLX
ADVENTURE,ADV,EXGM,"EUR 23,00","4,55%",17:35 CET,https://live.euronext.com/pt/product/equities/IT0005607715-EXGM
ADVICENNE,ALDVI,ALXP,"EUR 1,692","-4,52%",16:40 CET,https://live.euronext.com/pt/product/equities/FR0013296746-ALXP
ADVINI,ALAVI,ALXP,"EUR 14,10","0,71%",17:27 CET,https://live.euronext.com/pt/product/equities/FR0000053043-ALXP
ADYEN,ADYEN,XAMS,"EUR 1 392,20","-1,51%",17:39 CET,https://live.euronext.com/pt/product/equities/NL0012969182-XAMS
ADYEN,2ADYEN,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/NL0012969182-MTAH
ADYEN,4ADYEN,ETLX,"EUR 1 460,80","-2,07%",03 Nov 2025,https://live.euronext.com/pt/product/equities/NL0012969182-ETLX
ALNYLAM PHARMACEUT,1ALNY,BGEM,"EUR 320,00","5,72%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US02043Q1076-BGEM
ALPES (COMPAGNIE),CDA,XPAR,"EUR 25,00","0,40%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000053324-XPAR
ALPHABET CLASSE A,4GOOGL,ETLX,"EUR 285,40","-0,31%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US02079K3059-ETLX
ALPHABET CLASSE A,2GOOGL,MTAH,"EUR 284,70",-,18:13 CET,https://live.euronext.com/pt/product/equities/US02079K3059-MTAH
ALPHABET CLASSE A,1GOOGL,BGEM,"EUR 284,70","-0,42%",17:35 CET,https://live.euronext.com/pt/product/equities/US02079K3059-BGEM
ALPHABET CLASSE C,2GOOG,MTAH,"EUR 287,80","0,49%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US02079K1079-MTAH
ALPHABET CLASSE C,1GOOG,BGEM,"EUR 284,90","-0,52%",17:30 CET,https://live.euronext.com/pt/product/equities/US02079K1079-BGEM
ALPHABET CLASSE C,4GOOG,ETLX,"EUR 294,65","2,81%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US02079K1079-ETLX
ALSTOM,4ALO,ETLX,"EUR 25,91","-0,84%",13:16 CET,https://live.euronext.com/pt/product/equities/FR0010220475-ETLX
ALSTOM,ALO,XPAR,"EUR 26,08","-0,15%",17:39 CET,https://live.euronext.com/pt/product/equities/FR0010220475-XPAR
ALSTOM,2ALO,MTAH,"EUR 20,09",-,15 May 2025,https://live.euronext.com/pt/product/equities/FR0010220475-MTAH
ALTAMIR,LTA,XPAR,"EUR 29,80","0,30%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000053837-XPAR
ALTAREA,2ALTA,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0000033219-MTAH
ALTAREA,ALTA,XPAR,"EUR 113,20","0,53%",17:37 CET,https://live.euronext.com/pt/product/equities/FR0000033219-XPAR
ALTAREIT,AREIT,XPAR,"EUR 510,00",-,09:00 CET,https://live.euronext.com/pt/product/equities/FR0000039216-XPAR
ALTEA GREEN POWER,AGP,MTAA,"EUR 8,12",-,17:35 CET,https://live.euronext.com/pt/product/equities/IT0005472730-MTAA
ALTEN,2ATE,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0000071946-MTAH
ALTEN,ATE,XPAR,"EUR 74,70","-1,71%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0000071946-XPAR
ALTHEORA,ALORA,ALXP,"EUR 0,578","-4,93%",17:26 CET,https://live.euronext.com/pt/product/equities/FR0000061244-ALXP
ALTRI SGPS,ALTR,XLIS,"EUR 4,53","-0,77%",16:35 WET,https://live.euronext.com/pt/product/equities/PTALT0AE0002-XLIS
ALTRI SGPS,2ALTR,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/PTALT0AE0002-MTAH
ALTRIA GROUP,1MO,BGEM,"EUR 53,01","-0,11%",16:46 CET,https://live.euronext.com/pt/product/equities/US02209S1033-BGEM
ALTRIA GROUP,4MO,ETLX,"EUR 51,06",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/US02209S1033-ETLX
ALTRIA GROUP,2MO,MTAH,"EUR 49,42","0,74%",09 Jan 2026,https://live.euronext.com/pt/product/equities/US02209S1033-MTAH
ALUMEXX N.V.,ALX,XAMS,"EUR 1,35","0,75%",14:17 CET,https://live.euronext.com/pt/product/equities/NL0012194724-XAMS
ALVEEN,MLALV,XMLI,"EUR 0,103",-,10 Sep 2025,https://live.euronext.com/pt/product/equities/FR0013253812-XMLI
AMA CORPORATION,ALAMA,ALXP,"EUR 0,164","-0,30%",09:00 CET,https://live.euronext.com/pt/product/equities/GB00BNKGZC51-ALXP
AMADEUS FIRE,2AAD,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/DE0005093108-MTAH
AMADEUS FIRE,4AAD,ETLX,"EUR 42,20",-,09:56 CET,https://live.euronext.com/pt/product/equities/DE0005093108-ETLX
AMADEUS FIRE,1AAD,BGEM,"EUR 42,05","-0,71%",15 Jan 2026,https://live.euronext.com/pt/product/equities/DE0005093108-BGEM
AMADEUS IT GROUP,4AMS,ETLX,"EUR 61,60","-0,84%",17 Dec 2025,https://live.euronext.com/pt/product/equities/ES0109067019-ETLX
AMADEUS IT GROUP,2AMS,MTAH,"EUR 75,36","2,95%",24 Mar 2025,https://live.euronext.com/pt/product/equities/ES0109067019-MTAH
AMADEUS IT GROUP,1AMS,BGEM,"EUR 61,50","1,99%",15 Jan 2026,https://live.euronext.com/pt/product/equities/ES0109067019-BGEM
AMATHEON AGRI,MLAAH,XMLI,"EUR 0,021","2,44%",11:30 CET,https://live.euronext.com/pt/product/equities/NL0010273694-XMLI
AMAZON,4AMZN,ETLX,"EUR 207,20","1,10%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US0231351067-ETLX
AMAZON,1AMZN,BGEM,"EUR 205,10","-0,32%",17:35 CET,https://live.euronext.com/pt/product/equities/US0231351067-BGEM
AMAZON,2AMZN,MTAH,"EUR 205,15","-0,29%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US0231351067-MTAH
AMBARELLA INC,1AMBA,BGEM,"EUR 55,80","-3,86%",14 Jan 2026,https://live.euronext.com/pt/product/equities/KYG037AX1015-BGEM
AMBROMOBILIARE,AMB,EXGM,"EUR 0,72","-0,69%",15:58 CET,https://live.euronext.com/pt/product/equities/IT0004779515-EXGM
AMC ENTERTAINMENT,2AMC,MTAH,"EUR 4,06","-2,99%",11 Dec 2024,https://live.euronext.com/pt/product/equities/US00165C3025-MTAH
AMC ENTERTAINMENT,1AMC,BGEM,"EUR 1,425","1,32%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US00165C3025-BGEM
Amcor PLC,1AMCR,BGEM,"EUR 7,45","5,76%",27 Oct 2025,https://live.euronext.com/pt/product/equities/JE00BV7DQ550-BGEM
Amentum H,1AMTM,BGEM,"EUR 30,00","2,74%",17:15 CET,https://live.euronext.com/pt/product/equities/US0239391016-BGEM
Ameren Corp,1AEE,BGEM,"EUR 85,00","-0,58%",16 Dec 2025,https://live.euronext.com/pt/product/equities/US0236081024-BGEM
AMERICAN AIRLINES,1AAL,BGEM,"EUR 13,33","-1,60%",16:33 CET,https://live.euronext.com/pt/product/equities/US02376R1023-BGEM
AMERICAN AIRLINES,2AAL,MTAH,"EUR 11,884","-0,29%",24 Oct 2025,https://live.euronext.com/pt/product/equities/US02376R1023-MTAH
AMERICAN AIRLINES,4AAL,ETLX,"EUR 13,706","0,03%",09 Jan 2026,https://live.euronext.com/pt/product/equities/US02376R1023-ETLX
AMERICAN EAGLE OUT,1AEO,BGEM,"EUR 23,60",-,18 Dec 2025,https://live.euronext.com/pt/product/equities/US02553E1064-BGEM
American Electric,1AEP,BGEM,"EUR 100,50","0,70%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US0255371017-BGEM
AMERICAN EXPRESS,2AXP,MTAH,"EUR 316,50","0,56%",18:34 CET,https://live.euronext.com/pt/product/equities/US0258161092-MTAH
AMERICAN EXPRESS,1AXP,BGEM,"EUR 313,25","1,28%",16:43 CET,https://live.euronext.com/pt/product/equities/US0258161092-BGEM
AMERICAN EXPRESS,4AXP,ETLX,"EUR 326,00","0,59%",17 Dec 2025,https://live.euronext.com/pt/product/equities/US0258161092-ETLX
AMERICAN INTERN,2AIG,MTAH,"EUR 72,43","0,01%",16 Dec 2025,https://live.euronext.com/pt/product/equities/US0268747849-MTAH
AMERICAN INTERN,4AIG,ETLX,"EUR 68,28","1,97%",24 Jul 2025,https://live.euronext.com/pt/product/equities/US0268747849-ETLX
AMERICAN INTERN,1AIG,BGEM,"EUR 62,39","-0,43%",14 Jan 2026,https://live.euronext.com/pt/product/equities/US0268747849-BGEM
AMERICAN SUPERCOND,1AMSC,BGEM,"EUR 26,52","0,87%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US0301112076-BGEM
AMERICAN TOWER R,2AMT,MTAH,"EUR 186,50",-,15 Nov 2024,https://live.euronext.com/pt/product/equities/US03027X1000-MTAH
AMERICAN TOWER R,1AMT,BGEM,"EUR 156,12","0,76%",12:07 CET,https://live.euronext.com/pt/product/equities/US03027X1000-BGEM
AMERICAN TOWER R,4AMT,ETLX,"EUR 187,68","1,72%",25 Feb 2025,https://live.euronext.com/pt/product/equities/US03027X1000-ETLX
AMERICAN WATER WOR,4AWK,ETLX,"EUR 119,25","2,27%",06 Oct 2025,https://live.euronext.com/pt/product/equities/US0304201033-ETLX
AMERICAN WATER WOR,2AWK,MTAH,"EUR 124,70","1,30%",06 Nov 2024,https://live.euronext.com/pt/product/equities/US0304201033-MTAH
AMERICAN WATER WOR,1AWK,BGEM,"EUR 110,60","-1,82%",13 Jan 2026,https://live.euronext.com/pt/product/equities/US0304201033-BGEM
Ameriprise Fin,1AMP,BGEM,"EUR 423,00","0,09%",02 Jan 2026,https://live.euronext.com/pt/product/equities/US03076C1062-BGEM
AMETEK Inc,1AME,BGEM,"EUR 180,24",-,14 Jan 2026,https://live.euronext.com/pt/product/equities/US0311001004-BGEM
AMG,2AMG,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/NL0000888691-MTAH
AMG,AMG,XAMS,"EUR 37,46","-2,50%",17:36 CET,https://live.euronext.com/pt/product/equities/NL0000888691-XAMS
AMGEN,2AMGN,MTAH,"EUR 292,45","0,21%",07 Jan 2026,https://live.euronext.com/pt/product/equities/US0311621009-MTAH
AMGEN,4AMGN,ETLX,"EUR 290,75","-0,90%",13 Nov 2025,https://live.euronext.com/pt/product/equities/US0311621009-ETLX
AMGEN,1AMGN,BGEM,"EUR 283,50","1,30%",15 Jan 2026,https://live.euronext.com/pt/product/equities/US0311621009-BGEM
AMOEBA,ALMIB,ALXP,"EUR 0,93","-3,53%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0011051598-ALXP
Amphenol Corp,4APH,ETLX,"EUR 108,14","0,50%",14 Oct 2025,https://live.euronext.com/pt/product/equities/US0320951017-ETLX
Amphenol Corp,2APH,MTAH,"EUR 126,94","2,24%",12 Jan 2026,https://live.euronext.com/pt/product/equities/US0320951017-MTAH
Amphenol Corp,1APH,BGEM,"EUR 133,32","-0,70%",15:27 CET,https://live.euronext.com/pt/product/equities/US0320951017-BGEM
AMPLIFON,2AMP,MTAH,"EUR 13,57","-0,55%",18:29 CET,https://live.euronext.com/pt/product/equities/IT0004056880-MTAH
AMPLIFON,AMP,MTAA,"EUR 13,645","-1,12%",17:36 CET,https://live.euronext.com/pt/product/equities/IT0004056880-MTAA
ams-OSRAM,1AMSO,BGEM,"EUR 9,57","2,13%",07 Jan 2026,https://live.euronext.com/pt/product/equities/AT0000A3EPA4-BGEM
AMUNDI,2AMUN,MTAH,-,-,-,https://live.euronext.com/pt/product/equities/FR0004125920-MTAH
AMUNDI,4AMUN,ETLX,"EUR 66,85","-0,67%",12 Nov 2025,https://live.euronext.com/pt/product/equities/FR0004125920-ETLX
AMUNDI,AMUN,XPAR,"EUR 75,05","0,33%",17:35 CET,https://live.euronext.com/pt/product/equities/FR0004125920-XPAR
ANALOG DEVICES,2ADI,MTAH,"EUR 240,25","0,02%",12 Dec 2025,https://live.euronext.com/pt/product/equities/US0326541051-MTAH
